speed, torque, load, w
0.000000, 2.410000, 0.000000, 558.156295 
53.300000, 2.184605, 0.024100, 558.156295 
106.600000, 1.959211, 0.048200, 558.156295 
159.900000, 1.733816, 0.072300, 552.805303 
213.200000, 1.508421, 0.096400, 547.106279 
266.500000, 1.283026, 0.120500, 541.407256 
319.800000, 1.057632, 0.144600, 535.708232 
373.100000, 0.832237, 0.168700, 530.009208 
426.400000, 0.606842, 0.192800, 524.310184 
479.700000, 0.381447, 0.216900, 518.611161 
533.000000, 0.156053, 0.241000, 512.912137 
586.300000, -0.069342, 0.265100, 507.213113 
639.600000, -0.294737, 0.289200, 501.514089 
692.900000, -0.520132, 0.313300, 495.815066 
746.200000, -0.745526, 0.337400, 490.116042 
799.500000, -0.970921, 0.361500, 484.417018 
852.800000, -1.196316, 0.385600, 478.717994 
906.100000, -1.421711, 0.409700, 473.018971 
959.400000, -1.647105, 0.433800, 467.319947 
1012.700000, -1.872500, 0.457900, 461.620923 
1066.000000, -2.097895, 0.482000, 455.921899 
1119.300000, -2.323290, 0.506100, 450.222876 
1172.600000, -2.548684, 0.530200, 444.523852 
1225.900000, -2.774079, 0.554300, 438.824828 
1279.200000, -2.999474, 0.578400, 433.125804 
1332.500000, -3.224869, 0.602500, 427.426781 
1385.800000, -3.450263, 0.626600, 421.727757 
1439.100000, -3.675658, 0.650700, 416.028733 
1492.400000, -3.901053, 0.674800, 410.329709 
1545.700000, -4.126448, 0.698900, 404.630686 
1599.000000, -4.351842, 0.723000, 398.931662 
1652.300000, -4.577237, 0.747100, 393.232638 
1705.600000, -4.802632, 0.771200, 387.533614 
1758.900000, -5.028027, 0.795300, 381.834591 
1812.200000, -5.253421, 0.819400, 376.135567 
1865.500000, -5.478816, 0.843500, 370.436543 
1918.800000, -5.704211, 0.867600, 364.737520 
1972.100000, -5.929606, 0.891700, 359.038496 
2025.400000, -6.155000, 0.915800, 353.339472 
2078.700000, -6.380395, 0.939900, 347.640448 
2132.000000, -6.605790, 0.964000, 341.941425 
2185.300000, -6.831185, 0.988100, 336.242401 
2238.600000, -7.056579, 1.012200, 330.543377 
2291.900000, -7.281974, 1.036300, 324.844353 
2345.200000, -7.507369, 1.060400, 319.145330 
2398.500000, -7.732763, 1.084500, 313.446306 
2451.800000, -7.958158, 1.108600, 307.747282 
2505.100000, -8.183553, 1.132700, 302.048258 
2558.400000, -8.408948, 1.156800, 296.349235 
2611.700000, -8.634342, 1.180900, 290.650211 
2665.000000, -8.859737, 1.205000, 284.951187 
2718.300000, -9.085132, 1.229100, 279.252163 
2771.600000, -9.310527, 1.253200, 273.553140 
2824.900000, -9.535921, 1.277300, 267.854116 
2878.200000, -9.761316, 1.301400, 262.155092 
2931.500000, -9.986711, 1.325500, 256.456068 
2984.800000, -10.212106, 1.349600, 250.757045 
3038.100000, -10.437500, 1.373700, 245.058021 
3091.400000, -10.662895, 1.397800, 239.358997 
3144.700000, -10.888290, 1.421900, 233.659973 
3198.000000, -11.113685, 1.446000, 227.960950 
3251.300000, -11.339079, 1.470100, 222.261926 
3304.600000, -11.564474, 1.494200, 216.562902 
3357.900000, -11.789869, 1.518300, 210.863878 
3411.200000, -12.015264, 1.542400, 205.164855 
3464.500000, -12.240658, 1.566500, 199.465831 
3517.800000, -12.466053, 1.590600, 193.766807 
3571.100000, -12.691448, 1.614700, 188.067784 
3624.400000, -12.916843, 1.638800, 182.368760 
3677.700000, -13.142237, 1.662900, 176.669736 
3731.000000, -13.367632, 1.687000, 170.970712 
3784.300000, -13.593027, 1.711100, 165.271689 
3837.600000, -13.818422, 1.735200, 159.572665 
3890.900000, -14.043816, 1.759300, 153.873641 
3944.200000, -14.269211, 1.783400, 148.174617 
3997.500000, -14.494606, 1.807500, 142.475594 
4050.800000, -14.720001, 1.831600, 136.776570 
4104.100000, -14.945395, 1.855700, 131.077546 
4157.400000, -15.170790, 1.879800, 125.378522 
4210.700000, -15.396185, 1.903900, 119.679499 
4264.000000, -15.621580, 1.928000, 113.980475 
4317.300000, -15.846974, 1.952100, 108.281451 
4370.600000, -16.072369, 1.976200, 102.582427 
4423.900000, -16.297764, 2.000300, 96.883404 
4477.200000, -16.523159, 2.024400, 91.184380 
4530.500000, -16.748553, 2.048500, 85.485356 
4583.800000, -16.973948, 2.072600, 79.786332 
4637.100000, -17.199343, 2.096700, 74.087309 
4690.400000, -17.424738, 2.120800, 68.388285 
4743.700000, -17.650132, 2.144900, 62.689261 
4797.000000, -17.875527, 2.169000, 56.990237 
4850.300000, -18.100922, 2.193100, 51.291214 
4903.600000, -18.326316, 2.217200, 45.592190 
4956.900000, -18.551711, 2.241300, 39.893166 
5010.200000, -18.777106, 2.265400, 34.194142 
5063.500000, -19.002501, 2.289500, 28.495119 
5116.800000, -19.227895, 2.313600, 22.796095 
5170.100000, -19.453290, 2.337700, 17.097071 
5223.400000, -19.678685, 2.361800, 11.398047 
5276.700000, -19.904080, 2.385900, 5.699024 
